time (sec), current (uA)
149.540, 88.88
149.663, 87.40
149.740, 84.60
149.863, 84.03
149.940, 86.55
150.063, 86.35
150.140, 95.43
150.263, 87.82
150.340, 84.29
150.463, 86.19
150.540, 82.04
150.663, 87.16
150.740, 90.77
150.863, 85.42
150.940, 87.50
151.063, 86.36
151.140, 86.45
151.263, 86.53
151.340, 82.44
151.463, 86.17
151.540, 89.09
151.663, 86.56
151.740, 88.46
151.863, 82.91
151.940, 92.82
152.063, 85.61
152.140, 89.43
152.263, 86.58
152.340, 86.35
152.463, 86.96
152.540, 82.16
152.663, 82.37
152.740, 84.95
152.863, 89.63
152.940, 85.98
153.063, 83.62
153.140, 88.62
153.263, 85.58
153.340, 88.25
153.463, 84.57
153.540, 87.76
153.663, 86.59
153.740, 87.14
153.863, 85.19
153.940, 78.99
154.063, 84.59
154.140, 84.99
154.263, 83.45
154.340, 84.58
154.463, 84.92
154.540, 88.61
154.663, 85.62
154.740, 81.52
