time (sec), voltage (V)
35.951, -0.18
35.952, -0.44
35.955, -0.92
35.956, -1.11
36.052, -0.38
36.053, -0.09
36.060, 1.26
36.145, 1.02
36.154, -0.91
36.156, -1.12
36.251, -0.55
36.252, -0.35
36.259, 1.20
36.345, 0.98
36.353, -0.65
36.355, -0.98
36.451, -0.49
36.452, -0.26
36.458, 1.03
36.544, 1.14
36.552, -0.46
36.554, -0.96
36.658, 0.93
36.745, 0.99
36.755, -0.99
36.755, -1.04
36.849, -0.77
36.851, -0.63
36.858, 0.96
36.945, 0.96
36.952, -0.29
36.952, -0.50
36.953, -0.83
36.955, -1.05
37.059, 1.17
37.145, 0.98
37.151, -0.25
37.155, -1.07
37.250, -0.62
37.252, -0.31
37.258, 0.89
37.259, 1.09
37.259, 1.21
37.344, 1.24
37.357, -1.34
37.359, -1.65
37.457, 0.68
37.545, 1.05
37.545, 1.01
37.546, 0.75
37.553, -0.67
37.555, -1.03
37.650, -0.72
37.652, -0.36
37.658, 0.88
37.746, 0.90
37.751, -0.18
37.752, -0.39
37.755, -1.00
37.755, -1.04
37.849, -0.82
37.851, -0.58
37.858, 0.95
37.945, 0.99
37.952, -0.44
37.955, -1.11
38.058, 0.87
38.146, 0.83
38.252, -0.31
38.252, -0.17
38.258, 1.06
38.343, 1.45
38.352, -0.47
38.353, -0.69
38.450, -0.71
38.452, -0.42
38.458, 1.04
38.462, 1.73
38.463, 1.96
38.540, 1.94
38.542, 1.72
38.544, 1.33
38.552, -0.43
38.553, -0.74
38.649, -0.74
38.653, -0.12
38.659, 1.23
38.744, 1.31
38.755, -1.08
38.755, -1.13
38.850, -0.57
38.852, -0.35
38.858, 0.96
38.944, 1.23
38.951, -0.14
38.955, -1.05
39.052, -0.35
39.053, -0.07
39.059, 1.25
39.144, 1.32
39.155, -0.96
39.156, -1.11
39.250, -0.56
39.252, -0.29
39.259, 1.19
39.345, 1.13
39.450, -0.69
39.450, -0.68
39.452, -0.38
39.453, -0.13
39.459, 1.11
39.545, 1.10
39.552, -0.50
39.555, -1.02
39.650, -0.61
39.652, -0.31
39.658, 1.04
39.744, 1.24
39.752, -0.40
39.754, -0.72
39.755, -1.00
39.755, -1.05
39.858, 1.06
39.945, 1.01
39.952, -0.23
39.954, -0.82
40.050, -0.58
40.051, -0.40
40.059, 1.09
40.145, 1.06
40.152, -0.42
40.153, -0.76
40.249, -0.72
40.251, -0.53
40.258, 1.01
40.345, 1.00
40.352, -0.47
40.354, -0.86
40.354, -0.98
40.356, -1.12
40.451, -0.34
40.453, -0.11
40.459, 1.09
40.545, 1.06
40.555, -0.98
40.556, -1.09
40.658, 1.03
40.744, 1.22
40.754, -0.88
40.756, -1.13
40.858, 0.95
40.858, 1.03
40.859, 1.20
40.944, 1.16
40.951, -0.24
40.952, -0.48
40.955, -0.96
40.955, -0.98
41.050, -0.83
41.052, -0.16
41.058, 0.95
41.058, 0.98
41.060, 1.28
41.145, 1.08
41.154, -0.91
41.156, -1.11
41.250, -0.60
41.252, -0.33
41.259, 1.08
41.345, 1.01
41.351, -0.18
41.352, -0.41
41.353, -0.73
41.355, -1.05
41.450, -0.60
41.452, -0.34
41.458, 0.89
41.459, 1.15
41.459, 1.17
41.545, 1.01
41.554, -0.88
41.556, -1.12
41.650, -0.75
41.652, -0.34
41.659, 1.24
41.744, 1.20
41.753, -0.42
41.756, -1.11
41.850, -0.58
41.852, -0.37
41.859, 1.11
41.946, 0.92
42.059, 1.16
42.145, 1.10
42.152, -0.44
42.155, -1.03
42.251, -0.57
42.251, -0.40
42.259, 1.11
42.345, 1.13
42.459, 1.17
42.545, 1.05
42.554, -0.82
42.556, -1.11
42.650, -0.68
42.650, -0.63
42.658, 1.03
42.745, 1.07
42.752, -0.31
42.754, -1.09
42.858, 0.95
42.945, 0.96
42.952, -0.51
42.955, -1.07
43.052, -0.34
43.053, -0.11
43.058, 0.91
43.058, 1.06
43.059, 1.24
43.145, 0.98
43.152, -0.40
43.154, -0.82
43.155, -0.95
43.156, -1.11
43.259, 1.24
43.345, 1.06
43.459, 1.24
43.546, 0.90
43.551, -0.26
43.552, -0.43
43.650, -0.51
43.652, -0.14
43.659, 1.08
43.745, 1.09
43.754, -1.04
43.754, -1.05
43.850, -0.64
43.850, -0.59
43.852, -0.36
43.853, -0.11
43.859, 1.13
43.945, 1.12
43.952, -0.36
43.954, -0.87
44.058, 0.93
44.059, 1.10
44.059, 1.18
44.145, 1.08
44.251, -0.42
44.251, -0.37
44.258, 0.90
44.345, 1.10
44.351, -0.16
44.353, -0.48
44.452, -0.39
44.453, -0.08
44.458, 0.97
44.545, 1.11
44.553, -0.79
44.556, -1.11
44.658, 0.90
44.745, 1.07
44.752, -0.36
44.756, -1.12
44.850, -0.62
44.852, -0.38
44.859, 1.21
44.945, 1.09
44.951, -0.18
44.955, -1.03
45.050, -0.57
45.053, -0.10
45.059, 1.23
45.145, 1.06
45.151, -0.24
45.154, -0.88
45.259, 1.10
45.345, 1.04
45.354, -0.81
45.356, -1.11
45.449, -0.74
45.453, -0.08
45.458, 1.03
45.544, 1.15
45.554, -1.05
45.556, -1.12
45.650, -0.67
45.650, -0.66
45.658, 1.03
45.745, 1.02
45.753, -0.74
45.755, -1.01
45.849, -0.77
45.853, -0.09
45.858, 0.91
45.859, 1.15
45.859, 1.18
45.944, 1.14
45.952, -0.30
45.956, -1.11
46.058, 0.95
46.145, 0.94
46.154, -0.86
46.156, -1.09
46.250, -0.52
46.252, -0.31
46.258, 1.02
46.345, 1.08
46.452, -0.30
46.453, -0.11
46.458, 1.03
46.544, 1.14
46.659, 1.17
46.745, 1.05
46.752, -0.46
46.756, -1.13
46.851, -0.59
46.852, -0.37
46.858, 1.04
46.945, 1.13
46.951, -0.21
46.952, -0.37
47.050, -0.57
47.053, -0.12
47.058, 0.99
47.145, 1.03
47.154, -0.82
47.155, -1.01
47.259, 1.18
47.345, 1.03
47.352, -0.39
47.354, -0.93
47.355, -1.02
47.355, -1.04
47.451, -0.51
47.452, -0.12
47.459, 1.12
47.545, 1.12
47.551, -0.19
47.555, -1.09
47.658, 0.95
47.745, 1.07
47.849, -0.74
47.850, -0.58
47.852, -0.31
47.852, -0.24
47.858, 1.01
47.945, 1.08
47.953, -0.65
47.955, -1.03
48.049, -0.80
48.053, -0.12
48.058, 0.99
48.145, 1.05
48.151, -0.18
48.153, -0.51
48.249, -0.77
48.252, -0.32
48.258, 0.96
48.344, 1.20
48.458, 1.03
48.545, 1.10
48.551, -0.21
48.553, -0.46
48.650, -0.66
48.652, -0.34
48.658, 0.96
48.745, 1.03
48.752, -0.35
48.756, -1.11
48.852, -0.31
48.852, -0.17
48.858, 1.06
48.945, 1.11
49.059, 1.07
49.146, 0.85
49.151, -0.18
49.153, -0.48
49.154, -0.88
49.154, -1.09
49.249, -0.86
49.250, -0.81
49.252, -0.42
49.253, -0.10
49.259, 1.11
49.346, 0.93
49.355, -1.03
49.355, -1.08
49.458, 1.01
49.545, 1.03
49.552, -0.26
49.554, -1.06
49.651, -0.56
49.651, -0.37
49.658, 0.94
49.745, 1.06
49.751, -0.19
49.752, -0.49
49.851, -0.59
49.851, -0.49
49.858, 1.03
49.945, 1.10
49.951, -0.18
49.952, -0.49
49.954, -0.86
49.954, -0.99
50.058, 0.94
50.145, 1.07
50.152, -0.49
50.155, -0.96
50.251, -0.49
50.251, -0.38
50.258, 0.93
50.346, 0.94
50.353, -0.73
50.356, -1.13
50.449, -0.82
50.452, -0.37
50.458, 1.06
50.544, 1.14
50.554, -0.96
50.556, -1.11
50.650, -0.60
50.652, -0.31
50.658, 1.04
50.745, 1.07
50.752, -0.28
50.754, -0.88
50.850, -0.57
50.852, -0.32
50.858, 0.96
50.945, 1.02
51.059, 1.08
51.145, 1.02
51.252, -0.41
51.253, -0.17
51.258, 0.99
51.346, 0.93
51.354, -0.81
51.355, -1.03
51.458, 0.95
51.459, 1.12
51.459, 1.17
51.544, 1.24
51.650, -0.66
51.652, -0.37
51.658, 0.98
51.745, 1.09
51.752, -0.33
51.754, -0.93
51.852, -0.38
51.853, -0.11
51.858, 0.95
51.945, 0.98
51.954, -0.90
51.955, -1.00
52.051, -0.56
52.051, -0.46
52.058, 0.93
52.144, 1.27
52.145, 1.07
52.145, 1.03
52.155, -1.02
52.155, -1.09
52.250, -0.58
52.252, -0.18
52.258, 1.01
52.346, 0.83
52.353, -0.47
52.355, -1.04
52.449, -0.75
52.451, -0.56
52.459, 1.13
52.545, 1.01
52.652, -0.27
52.652, -0.13
52.658, 0.99
52.745, 1.05
52.746, 0.92
52.746, 0.84
52.753, -0.54
52.755, -1.07
52.852, -0.36
52.853, -0.14
52.858, 1.05
52.946, 0.91
52.953, -0.42
52.953, -0.60
53.059, 1.08
53.144, 1.27
53.153, -0.69
53.154, -1.04
53.249, -0.75
53.251, -0.50
53.259, 1.13
53.345, 0.96
53.351, -0.23
53.353, -0.60
53.458, 0.99
53.544, 1.15
53.553, -0.68
53.554, -1.00
53.650, -0.52
53.653, -0.08
53.658, 0.97
53.745, 1.08
53.753, -0.68
53.755, -1.09
53.850, -0.51
53.853, -0.08
53.858, 1.02
53.945, 1.08
54.050, -0.51
54.053, -0.13
54.058, 1.05
54.145, 1.10
54.152, -0.39
54.156, -1.12
54.249, -0.78
54.252, -0.31
54.259, 1.10
54.346, 0.82
54.353, -0.44
54.355, -1.04
54.449, -0.79
54.450, -0.75
54.452, -0.39
54.453, -0.15
54.459, 1.09
54.545, 1.09
54.555, -1.01
54.556, -1.12
54.652, -0.36
54.653, -0.12
54.659, 1.22
54.745, 1.11
54.751, -0.23
54.754, -1.02
54.859, 1.07
54.946, 0.93
54.952, -0.32
54.953, -0.60
55.049, -0.80
55.053, -0.12
55.058, 0.95
55.145, 1.01
55.154, -0.81
55.154, -1.01
55.250, -0.74
55.252, -0.37
55.259, 1.16
55.346, 0.93
55.354, -0.79
55.356, -1.11
55.458, 1.06
55.545, 0.96
55.552, -0.37
55.554, -0.84
